Evento,F1,F2,Tempo,0,1,2,3,
-,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
(1) CH1,1,0,2.5000,2.5000,0.0000,0.0000,0.0000,
(3) CH1,2,0,4.5004,2.5000,2.0004,0.0000,0.0000,
(5) CH1,3,0,6.7765,2.5000,2.0004,2.2761,0.0000,
(2) P12,2,1,7.5000,2.5000,2.0004,2.2761,0.7235,
(6) CH1,3,1,9.1163,2.5000,2.0004,3.8924,0.7235,
(4) P12,2,2,9.5004,2.5000,2.0004,3.8924,1.1076,
(9) CH1,3,2,11.1295,2.5000,2.0004,5.5215,1.1076,
(7) P12,2,3,12.1889,2.5000,2.0004,5.5215,2.1670,
(8) SA2,2,2,12.3046,2.5000,2.0004,5.6372,2.1670,
(10) P12,1,3,12.8711,2.5000,2.0004,6.2037,2.1670,
(11) CH1,2,3,13.6416,2.5000,2.7709,6.2037,2.1670,
(13) SA2,2,2,15.3388,2.5000,2.7709,7.9009,2.1670,
(15) CH1,3,2,16.4961,2.5000,2.7709,9.0582,2.1670,
Numero de perdas: 0
